timestamp,actual_q,actual_qd,target_qd_acceleration
1716711050.3634,"[-2.6200993696795862, -2.909989658986227, -0.07996064821352178, -2.93303090730776, 0.5299611687660217, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.3792796,"[-2.6201112906085413, -2.9100378195392054, -0.07996064821352178, -2.93305474916567, 0.5299611687660217, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.3953693,"[-2.6200993696795862, -2.909989658986227, -0.07997256914247686, -2.933042828236715, 0.5299611687660217, 1.1699259281158447]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.4114645,"[-2.6201112906085413, -2.909989658986227, -0.07997256914247686, -2.93303090730776, 0.5299375653266907, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.4272947,"[-2.620075527821676, -2.910013500844137, -0.07999641100038701, -2.933042828236715, 0.5299851298332214, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.443373,"[-2.620075527821676, -2.910013500844137, -0.0799482504474085, -2.93303090730776, 0.5299851298332214, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.4592507,"[-2.620087448750631, -2.910001579915182, -0.07998449007143194, -2.933042828236715, 0.5300090909004211, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.4752517,"[-2.620075527821676, -2.9100378195392054, -0.07996064821352178, -2.93303090730776, 0.5299731492996216, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.491357,"[-2.6200993696795862, -2.910013500844137, -0.07998449007143194, -2.933018986378805, 0.5299731492996216, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.507094,"[-2.6201234499560755, -2.910001579915182, -0.07997256914247686, -2.933018986378805, 0.5299375653266907, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.5230238,"[-2.6200993696795862, -2.910013500844137, -0.07999641100038701, -2.933042828236715, 0.5299611687660217, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.5388749,"[-2.6201234499560755, -2.9100497404681605, -0.07996064821352178, -2.933018986378805, 0.5299611687660217, 1.169901967048645]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.5548673,"[-2.6200993696795862, -2.910025421773092, -0.07997256914247686, -2.93303090730776, 0.5299731492996216, 1.169901967048645]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.57083,"[-2.620075527821676, -2.910001579915182, -0.07993632951845342, -2.93300706544985, 0.5299611687660217, 1.169901967048645]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.5866323,"[-2.620087448750631, -2.910001579915182, -0.07993632951845342, -2.93303090730776, 0.5299491882324219, 1.1699259281158447]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.6024587,"[-2.620087448750631, -2.910001579915182, -0.07999641100038701, -2.93305474916567, 0.5299731492996216, 1.1698895692825317]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.6182737,"[-2.6201112906085413, -2.910025421773092, -0.07999641100038701, -2.93305474916567, 0.5299851298332214, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.6342337,"[-2.6201112906085413, -2.909989658986227, -0.07997256914247686, -2.93303090730776, 0.5299971103668213, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.6499815,"[-2.6200993696795862, -2.910013500844137, -0.07996064821352178, -2.933018986378805, 0.5299851298332214, 1.1699259281158447]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.6659367,"[-2.6200993696795862, -2.9100378195392054, -0.07999641100038701, -2.9330666700946253, 0.5299851298332214, 1.169901967048645]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.6818771,"[-2.620075527821676, -2.910013500844137, -0.07996064821352178, -2.933042828236715, 0.5299611687660217, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.6978083,"[-2.620075527821676, -2.909989658986227, -0.07997256914247686, -2.93305474916567, 0.5299611687660217, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.7137651,"[-2.6201234499560755, -2.910001579915182, -0.0799482504474085, -2.93300706544985, 0.5299491882324219, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
